6-digit OPE ID for institution,Admission rate for all campuses rolled up to the 6-digit OPE ID,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,Proportion of faculty that is full-time,"First-time, full-time student retention rate at four-year institutions",The median debt for students who have completed,Average age of entry,Average family income in real 2015 dollars,Mean earnings of students working and not enrolled 6 years after entry,Mean earnings of students working and not enrolled 8 years after entry,Mean earnings of students working and not enrolled 10 years after entry,Nat Log Mean earnings of students working and not enrolled 10 years after entry,Average cost of attendance (academic year institutions),"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",,
1002,0.8989,823,0.8856,0.6314,29500,20.54041013,29598.38641,27200,29700,34300,10.44290063,18888,0.2914,,
1004,0.8729,1070,0.5951,0.7365,22500,21.79147287,53709.14341,27000,31600,36000,10.49127422,20194,0.4493,,
1005,0.5125,830,0.6641,0.6219,31200,20.64857531,28112.46513,23100,26000,29500,10.29214554,17400,0.2517,,
1009,0.8274,1215,0.878,0.8946,21500,20.6006186,90266.79915,40300,48500,54100,10.89858946,23788,0.6792,,
1012,0.6422,1177,0.6479,0.8037,27000,19.6935123,92290.00447,35700,41100,51000,10.83958091,44167,0.6192,,
1016,0.8092,1028,0.9882,0.7079,20691,22.26950355,50002.97723,30300,35500,40900,10.61888534,15058,0.3216,,
1019,0.6279,999,0.4083,0.6196,26230,23.57974684,58792.43798,32300,38400,42400,10.65490364,31433,0.4319,,
1020,0.8326,1036,0.6516,0.7112,21500,23.23247437,46596.32945,30300,33700,37000,10.51867319,19202,0.3083,,
1023,0.7388,1023,1,0.5974,26000,22.80188679,40426.42453,25800,23800,31600,10.3609124,27815,0.4051,,
1024,0.9957,950,0.5404,0.5781,20000,22.87585163,34159.50114,28400,35300,38500,10.55841352,17959,0.3161,,
1029,0.7125,1058,1,0.7727,27000,24.53316953,52524.52457,32100,35200,38200,10.55059079,30108,0.4904,,
1033,0.3435,924,1,0.7876,27500,22.21721312,50935.80635,25600,32000,37400,10.52942598,34705,0.3632,,
1036,0.7697,1153,0.9939,0.8673,22917.5,21.62224554,95708.00944,43900,48500,57400,10.95779958,38835,0.692,,
1041,0.4627,1100,0.597,0.7559,27000,20.25598802,73851.31587,35700,40800,48700,10.79343431,43325,0.5632,,
1044,0.43,882,1,0.6123,38500,21.11960133,29734.91196,22600,30300,29500,10.29214554,24744,0.2619,,
1047,0.6821,990,0.4007,0.7389,22500,28.37427263,37173.57856,33100,36900,39400,10.5815211,16877,0.3466,,
1050,0.3511,937,0.9685,0.7242,33000,19.78935698,46466.18108,34500,36300,40900,10.61888534,32853,0.4384,,
1051,0.5655,1171,0.7036,0.87,22910,21.52773723,84792.60282,39000,43100,49900,10.81777628,26717,0.6665,,
1052,0.8673,1146,0.9106,0.8016,20345.5,23.45881476,50152.83843,38300,42500,46400,10.74505474,19990,0.5377,,
1055,0.8062,1180,0.6555,0.8098,22750,24.10127697,51005.94232,39200,44400,50500,10.82972862,20306,0.4835,,
1057,0.8604,1064,0.6418,0.6787,23000,22.60713652,49003.41488,34300,40100,45200,10.71885237,17125,0.3342,,
1061,0.3745,1008,1,0.6667,22250,26.78431373,56771.30065,38000,40100,45600,10.727663,42925,0.3902,,
1081,0.762595367,1108,0.88548,0.81638,19060,24.42720337,57532.3028,40300,47000,52600,10.8704714,21212,0.542575,,
1082,0.9137,1050,0.6172,0.7178,20500,23.9980681,58568.93021,35600,38700,43900,10.6896696,22771,0.4924,,
1083,0.7692,1106,0.7478,0.8148,17750,21.37646488,65457.14152,39500,46700,54000,10.89673933,23905,0.6139,,
1086,0.277,842,0.8326,0.5621,26183,21.46221663,26543.8665,23300,26700,30200,10.3155972,15414,0.2583,,
1088,0.5898,1142,0.7069,0.6981,24250,20.63081395,57943.19477,33600,34900,43900,10.6896696,33355,0.4965,,
1089,0.8503,1008,1,0.6937,15805,25.02978884,38589.78808,30500,34300,37100,10.52137225,16126,0.4025,,
1090,0.7551,1088,0.743,0.7312,17250,24.14796409,40611.28118,30700,32500,36000,10.49127422,18809,0.3698,,
1092,0.8997,1070,0.7542,0.6977,19818.5,21.32020788,49496.31121,31300,37000,40800,10.61643736,17899,0.4203,,
1093,0.5407,974,0.4028,0.6731,19894,26.06324111,46924.39723,32500,36300,40100,10.59913161,20386,0.3874,,
1094,0.6136,1057,1,0.6943,24000,20.09961686,53013.42529,27500,33000,42200,10.6501755,34532,0.4831,,
1097,0.7628,1139,0.7364,0.8234,25000,21.34484563,80843.22449,34400,40500,44800,10.70996342,25475,0.6219,,
1098,0.6221,1011,1,0.5716,19327,22.25938242,39482.59335,28100,33600,38400,10.55581274,18033,0.2854,,
1099,0.8039,1267,0.6778,0.878,25000,19.44158416,94473.87921,31500,39300,46200,10.74073508,50172,0.6959,,
1100,0.6982,1144,0.9766,0.8239,21298,26.09694415,60692.62803,42800,50000,53600,10.88930435,33326,0.6537,,
1101,0.5274,1077,1,0.6973,21000,26.21262829,37743.26551,32800,34600,38000,10.54534144,19894,0.2438,,
1102,0.7011,1090,1,0.7631,23250,19.69817579,73695.32836,31100,38900,43400,10.67821472,31473,0.6022,,
1106,0.6798,1001,1,0.5878,19500,20.94444444,48351.67836,27400,29000,34800,10.45737267,22330,0.3985,,
1107,0.6081,989,0.6831,0.6433,15500,22.28359096,36733.6736,30800,35000,37900,10.54270639,17738,0.2973,,
1108,0.5858,1156,0.8663,0.821,20750,21.49450113,76049.56274,39200,45600,50400,10.82774645,19917,0.601,,
1110,0.5736,1028,0.5407,0.6217,16469,23.78020134,33730.55649,30300,31100,35000,10.46310334,14335,0.2291,,
1117,0.7985,1098,0.4597,0.8228,23000,26.1480196,67527.6225,44600,49400,54200,10.90043619,44021,0.6486,,
1122,0.7286,1123,0.9883,0.8501,23177.5,20.25091479,82345.16571,36200,42200,48900,10.79753268,44573,0.6819,,
1125,0.788,984,0.4779,0.7683,25215,24.6529976,60467.40336,37600,40300,45100,10.71663753,39026,0.5808,,
1131,0.1055,1534,0.957,0.9659,13500,19.2254902,103004.8529,82300,86600,85800,11.35977429,56382,0.9307,,
1133,0.4802,1108,1,0.8477,21379,22.67443503,79780.84605,39200,48300,57900,10.96647266,48630,0.7005,,
1134,0.748,1080,0.6629,0.8214,26000,21.80618557,74752.66804,78900,79300,90500,11.41310513,22223,0.5871,,
1137,0.4579,1021,0.4622,0.8853,13750,22.70693831,45320.20794,36300,43300,49000,10.79957558,16663,0.5347,,
1138,0.6872,910,0.4163,0.7753,15000,24.6175662,37156.34177,42700,48700,55300,10.92052819,20676,0.3808,,
1139,0.3082,1012,0.5029,0.8876,15000,22.56540454,42039.82739,37500,44300,51100,10.84153978,18085,0.6033,,
1140,0.6752,871,0.4996,0.8206,12834,22.91902201,29208.9465,35500,41900,46900,10.75577295,14747,0.3565,,
1141,0.5747,845,0.3877,0.7926,15953.5,25.29781341,28841.91122,36000,41000,46800,10.75363848,12957,0.2935,,
1142,0.5831,888,0.5046,0.8879,16759,22.68161611,38512.2147,35500,40400,46800,10.75363848,17030,0.4112,,
1143,0.3123,1242,0.6858,0.9249,19000,20.26155879,83537.64861,50900,60000,69400,11.14764215,23867,0.6972,,
1144,0.5218,1070,0.4882,0.8997,17418,22.09932933,45455.39686,39800,47400,55400,10.92233487,19402,0.5237,,
1146,0.7161,1014,0.5281,0.8665,15862,22.41382931,53213.29953,39400,45800,52400,10.86666187,22926,0.5605,,
1147,0.5815,920,0.5161,0.8323,15000,22.02508082,37891.00078,34700,41400,46500,10.74720759,16377,0.4859,,
1149,0.8018,1008,0.5414,0.7756,19228,22.23078824,45642.68668,28400,33700,39000,10.57131693,23113,0.4004,,
1150,0.6968,945,0.4894,0.8251,16500,23.43370565,39886.38796,39200,46600,51000,10.83958091,19380,0.4285,,
1151,0.313296679,1084,0.54295,0.8775,15290.5,22.40442933,50622.48842,39400,46400,53400,10.88556602,20252,0.6616,,
1153,0.4624,918,0.4602,0.782,14500,22.50621738,37575.83803,35400,41300,47500,10.76848499,20899,0.4575,,
1154,0.6379,998,0.4877,0.8211,16500,22.92512821,45107.62667,39300,45300,52600,10.8704714,22267,0.455,,
1155,0.6347,1030,0.4021,0.8782,15000,22.59673591,46079.65391,44100,52500,59900,11.00043178,21160,0.4809,,
1156,0.8186,1006,0.4814,0.8404,17750,22.47254576,63084.54326,38100,44300,49300,10.80567936,23675,0.5392,,
1157,0.7215,917,0.563,0.8725,15500,23.06781782,39612.95746,35700,39500,45900,10.7342204,17161,0.5198,,
1164,0.4471,1208,1,0.9073,19514.5,20.50022212,91448.71124,43800,48900,54100,10.89858946,57020,0.761,,
1170,0.1173,1397,0.9195,0.9622,12000,19.4375,98746.15625,56400,78800,97800,11.49067986,60065,0.9254,,
1171,0.1817,1483,0.8962,0.9949,23990,19.20895522,105958.3433,74400,87000,84900,11.34922937,60613,0.9082,,
1173,0.1392,1454,0.9569,0.9749,8085,19.43157895,79889.96842,44700,66200,70500,11.16336799,57014,0.9573,,
1174,0.357,1364,1,0.9319,13242,20.02427185,99383.32524,40700,47500,59300,10.99036458,58888,0.8414,,
1179,0.872,972,0.2827,0.7692,26426,25.22634731,59250.64192,49300,53900,58700,10.98019501,47115,0.4792,,
1183,0.5668,910,0.2392,0.7398,29000,25.27240143,59609.94444,44500,48500,55500,10.9241383,46994,0.3548,,
1196,0.7752,1057,0.2969,0.8566,27000,22.7654321,75862.0096,49200,55400,58400,10.97507117,56165,0.5387,,
1215,0.4677,926,0.8898,0.7615,25125.5,21.11764706,56386.5905,37500,46400,51900,10.85707407,39842,0.4918,,
1216,0.3895,1035,0.3026,0.8795,22572,26.93568651,54008.7939,41700,46800,52000,10.858999,45305,0.5928,,
1220,0.6137,1104,0.2926,0.8077,20147,21.93642612,69420.18729,35300,41800,49000,10.79957558,40815,0.5362,,
1236,0.3705,1001,0.3563,0.8155,23238,20.73413897,71794.51662,38400,44900,53900,10.89488576,51649,0.4076,,
1238,0.6798,1151,0.5337,0.8118,23375.5,23.15633803,53462.30141,39500,42000,44400,10.70099475,54668,0.6142,,
1243,0.7409,928,0.2806,0.7923,25000,23.63286713,49418.53089,53400,56500,59000,10.98529272,47905,0.6379,,
1249,0.4239,1303,0.7273,0.9302,21500,19.49834437,100174.1424,38900,48300,56600,10.94376426,60655,0.8777,,
1251,0.4628,1002,1,0.8087,27000,21.78795181,51616.38072,34700,43600,51100,10.84153978,52397,0.5731,,
1252,0.4681,951,0.9,0.7315,24964,24.36596386,53265.8238,29000,37700,39700,10.58910647,40303,0.4508,,
1253,0.7844,979,0.8403,0.8263,18617,28.01569859,44024.75877,35000,38800,43600,10.68281243,33973,0.5412,,
1258,0.5055,1017,0.9,0.8457,27000,21.15427928,67843.07095,45400,52500,59200,10.98867682,38800,0.4452,,
1262,0.6654,1155,1,0.8933,23292,21.22284795,89693.06195,42600,48100,53500,10.88743693,43060,0.7208,,
1281,0.6929,1039,0.2564,0.8222,21000,24.83469945,64160.85519,39100,39700,40100,10.59913161,34811,0.5614,,
1291,0.555,1030,1,0.8095,16666,27.2417983,46877.04253,33600,34500,38200,10.55059079,33889,0.4724,,
1293,0.6977,980,1,0.7609,25000,23.29209084,64365.56852,38600,41500,43200,10.67359577,41952,0.5232,,
1302,0.6947,1115,0.267,0.9005,24894.5,21.08965015,95040.78426,44500,53100,66800,11.10945836,56500,0.675,,
1305,0.0569,1466,0.9786,0.9858,11110,19.5767098,85202.86229,95200,128700,122900,11.7191263,58408,0.9576,,
