UNITID,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,SAT_AVG_ALL,TUITFTE,GRAD_DEBT_MDN,FAMINC,MEAN_EARN_6,MEAN_EARN_8,MEAN_EARN_10
100654,Public,9096,16596,827,9427,32750,30721.91065,28400,30600,35500
100663,Public,7510,17062,1107,9899,20750,51156.58905,39400,44100,48400
100690,Private,6900,6900,,12459,22829,20279.24856,35400,40800,47600
100706,Public,9158,21232,1219,8956,23250,54853.90207,40300,45900,52000
100724,Public,8720,15656,851,7733,32500,30283.78104,24400,27500,30600
100751,Public,9826,24950,1185,12791,23250,90097.06928,42400,45600,51600
100812,Public,,,,5476,18332.5,40716.8226,36200,40000,42400
100830,Public,9080,19640,1009,8071,20500,39535.01269,32100,37000,38000
100858,Public,10200,27384,1215,14135,21500,91587.29254,43100,50800,56300
100937,Private,31708,31708,1181,10266,27000,91514.28246,36700,43500,53100
101073,Private,10320,10320,942,5768,32500,18224.98152,22700,25700,25400
101189,Private,18750,18750,,11127,20320,36613.04209,33400,37000,40700
101435,Private,24550,24550,1026,10131,26484,59020.4381,34600,39900,43600
101453,Private,9792,9792,,10966,PrivacySuppressed,22450.41667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101480,Public,7092,13884,1041,6447,22625,47480.40581,31800,34900,38100
101541,Private,16258,16258,,8101,25874.5,30574.3446,26300,25500,29300
101587,Public,8018,14886,990,7928,22368,38795.6562,29700,33400,40400
101675,Private,11604,11604,,5202,36789.5,23953.9609,23100,25600,29500
101693,Private,19475,19475,1014,9947,27000,53143.92866,32700,37300,38700
101709,Public,10660,21220,1070,7568,23008,54023.86591,28000,32300,36100
101879,Public,7412,13268,1029,6702,21221.5,52660.90756,32100,36300,42800
101912,Private,16720,16720,928,11693,27250,52958.6153,25800,32400,37400
102049,Private,27324,27324,1165,18352,23500,98791.45882,45200,50700,59800
102058,Private,6680,6680,,7596,21050,10202.18578,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
102094,Public,7188,14076,1048,7295,23500,50713.79906,35100,42400,46800
102234,Private,32468,32468,1116,12082,27000,74514.59228,34800,44000,51300
102261,Private,11370,11370,930,10634,24000,36033.09402,30400,30900,38800
102270,Private,15865,15865,811,21345,38209,29620.1285,24900,28700,33700
102298,Private,12509,12509,,18039,27745,22879.96127,24200,25600,23900
102368,Public,7564,14092,1050,8632,23750,39706.00935,34300,37500,41100
102377,Private,19570,19570,978,14104,33000,50145.00154,34500,39000,42200
102395,Private,,,,14687,25000,33598.90179,35700,51100,PrivacySuppressed
102553,Public,5494,16466,,5843,17500,44845.56308,41500,46300,51200
102580,Private,9300,9300,,8132,PrivacySuppressed,51135.875,,,
102614,Public,5246,16238,,6491,16500,47398.87086,36500,40400,45100
102669,Private,19610,19610,1054,13383,23125,65329.80292,37500,41000,45300
103787,Private,11700,11700,,3313,18835,20684.09231,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
104151,Public,10157,24503,1135,12460,19874,58630.57553,42200,48800,55500
104179,Public,10957,29421,,12441,18750,69586.47946,41800,48100,56000
104586,Private,31648,31648,,26607,23250,53892.4379,51400,60800,70300
104665,Private,,,,52798,PrivacySuppressed,,,,
105330,Public,9990,22510,,7331,20500,59243.18205,36900,40900,44600
105367,Private,11670,11670,,6371,21665,46167.96608,41600,44900,48100
105589,Private,26415,26415,1073,17501,24859,48314.96296,28500,30700,34300
105899,Private,22466,22466,988,9345,22500,60614.38411,32600,31900,34900
106245,Public,7432,17764,1048,6640,21000,37380.87247,34600,36900,39500
106263,Public,,,,12646,12500,43374.20803,68000,70700,69000
106342,Private,24300,24300,1109,9009,25000,61814.66983,31400,40800,44800
106397,Public,8210,20300,1155,7143,21250,79433.79508,40900,46900,52700
106412,Public,6178,11908,886,2164,27500.5,27507.93928,23900,28100,30600
106458,Public,7720,13480,1088,3633,18000,44806.55085,30900,35100,36600
106467,Public,5862,10878,1010,3668,16720,40178.55054,31600,36100,38600
106704,Public,7889,13806,1049,4697,20250,49542.33219,32600,37500,42500
106713,Private,13800,13800,985,8783,21500,52118.09234,34200,37600,43000
107044,Private,17040,17040,1131,12463,26000,82688.65908,35600,42700,47000
107071,Public,7860,14220,989,3067,19212.5,41743.90864,29300,35000,40400
107080,Private,39290,39290,1244,11902,25500,101533.9114,35100,41300,44500
107141,Private,23588,23588,,10593,22781.5,60902.45186,45300,51800,55400
107512,Private,23320,23320,1112,10798,23268.5,77378.13594,34600,38900,46000
107558,Private,24470,24470,1061,10822,25046,53190.66078,28700,36500,38600
107600,Private,12564,12564,,7317,31000,24147.5309,23600,26500,27300
107877,Private,14360,14360,983,6711,19000,52696.56044,29300,32200,36400
107983,Public,7736,11186,989,3602,16800,38797.83035,30400,37800,39000
108092,Public,4727,10511,,2356,15000,36207.0243,30700,34700,35000
109651,Private,37830,37830,,30191,34096,55724.49494,48800,61200,62300
109785,Private,33096,33096,1037,18423,22700,67810.23625,48300,52500,55900
110060,Private,9120,9120,,4432,PrivacySuppressed,26409.66929,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
110097,Private,33322,33322,1122,21146,23500,82342.42155,38700,43000,50700
110316,Private,,,,17739,18750,24606.11017,38300,PrivacySuppressed,PrivacySuppressed
110361,Private,29422,29422,976,18625,26750,60396.16859,40000,43200,47500
110370,Private,41942,41942,,27248,27000,57623.52198,36200,41400,48000
110404,Private,43362,43362,1545,16533,13167,96354.13904,68500,105700,106300
110413,Private,37140,37140,1109,18773,23000,83304.01705,43700,48900,60200
110422,Public,8918,20078,1234,8330,19000,89378.09574,54700,63300,74300
110486,Public,6792,17952,,2882,14000,38140.65362,39100,44600,50100
110495,Public,6686,17846,,4697,15500,38628.15813,39300,42700,48500
110510,Public,6550,17710,884,4359,16924.5,37230.90351,37400,42400,48800
110529,Public,6904,18064,1074,4552,18460,45554.96849,42900,49400,58000
110538,Public,7002,18162,996,4966,16500,52193.3449,42900,48300,55400
110547,Public,6139,17299,,5053,15000,29181.25555,38300,41800,48500
110556,Public,6299,17459,910,3810,15119.5,37246.81699,37200,43400,48500
110565,Public,6315,17475,1021,5984,14605,44160.43757,38500,44800,51800
110574,Public,6564,17724,,6661,15554,37771.77232,45200,51700,58200
110583,Public,6452,17612,1054,5325,15000,42412.84448,40000,46200,53000
110592,Public,6348,17508,871,4315,13238.5,28569.95375,37200,44200,49900
110608,Public,6549,17709,914,6041,14750,36305.56753,37400,43500,49700
