UNITID,CONTROL,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P8,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P8,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P8,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
100654,1,Public,9096,16596,1,3,0.5256,827,0.0424,0.0191,0.0169,0,0,0.0487,0.0275,0,0.1123,0.1081,0.0339,0,0.0254,0,0.0127,0.0424,0,0.0975,0.0169,0,0,0,0,0,0.0127,0,0.0487,0.0085,0.0572,0.0424,0,0,0,0,0.0297,0,0.197,0,9427,6892,0.8967,0.7356,21475,0.3525,0.6595,0.172,32750,20.5257732,30721.91065,28400,30600,35500,25200,27100,31000,24000,20100,25400,94,142,212,1304,1485,1784,0.4831,0.5169
100663,1,Public,7510,17062,1,3,0.8569,1107,0,0,0,0.0024,0.0485,0,0.015,0,0.0882,0.0577,0,0.0111,0,0,0.0223,0.0179,0,0.0746,0.0102,0,0,0,0.0053,0,0.0204,0,0.078,0.032,0.0228,0.0524,0,0,0,0,0.0305,0.2084,0.1837,0.0184,9899,9957,0.9072,0.346,20621,0.5554,0.8288,0.062,20750,23.49213982,51156.58905,39400,44100,48400,35100,38300,41200,32000,36500,39200,241,309,464,2727,3048,3643,0.4169,0.5831
100690,2,Private,6900,6900,1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0.2353,0,0,0.0588,0,0,0,0,0,0,0,0.25,0,0,0,0.0294,0,0,0,0,0,0,0,0,0.4265,0,12459,3430,0.6,0.6801,16370,0.2222,0,0.122,22829,33.89017341,20279.24856,35400,40800,47600,30700,38300,39600,26700,33900,38600,38,51,54,155,198,170,0.3986,0.6014
100706,1,Public,9158,21232,1,3,0.8203,1219,0,0,0,0,0.0289,0,0.0271,0,0.0187,0.2624,0,0.0168,0,0,0.0168,0,0,0.085,0.014,0,0,0,0.0075,0,0.0261,0,0.0271,0,0,0.0177,0,0,0,0,0.0317,0.211,0.197,0.0121,8956,9302,0.6221,0.3072,21107,0.4614,0.7696,0.061,23250,23.71872304,54853.90207,40300,45900,52000,36200,41800,46700,25200,28400,33600,144,161,213,1378,1472,1475,0.5733,0.4267
100724,1,Public,8720,15656,1,3,0.5326,851,0,0,0,0,0.087,0,0.0813,0,0.1267,0,0,0,0,0,0.017,0,0,0.0851,0.017,0,0,0.0284,0,0,0.0359,0,0.0643,0.1096,0.0624,0.0151,0,0,0,0,0.0567,0.0888,0.1115,0.0132,7733,6609,0.6539,0.7347,18184,0.2632,0.5725,0.156,32500,20.52818508,30283.78104,24400,27500,30600,22600,25200,27700,15900,18000,21400,157,209,244,1754,1829,1832,0.3877,0.6123
100751,1,Public,9826,24950,1,3,0.5105,1185,0,0.0033,0,0.0024,0.1152,0,0.007,0,0.0762,0.0771,0,0.0044,0.0703,0,0.0178,0,0,0.0318,0.0065,0,0.0313,0,0.003,0,0.0111,0,0.0359,0.0259,0.0111,0.0405,0,0,0,0,0.0318,0.0912,0.2874,0.019,12791,9667,0.7045,0.204,26400,0.6566,0.867,0.063,23250,21.35652886,90097.06928,42400,45600,51600,37400,40300,44500,53500,37900,42500,345,362,429,4836,4613,4026,0.458,0.542
100812,1,Public,,,1,3,,,0,0,0,0,0,0,0.0288,0,0.2365,0,0,0,0,0,0.0336,0.0408,0,0.0204,0.0192,0,0.0384,0.0132,0.0168,0,0.0024,0,0.024,0.0348,0,0.0216,0,0,0,0,0.0108,0.0108,0.4394,0.0084,5476,7711,0.4559,0.4088,,,,0.086,18332.5,29.99717514,40716.8226,36200,40000,42400,33400,37500,38700,24200,24900,27500,140,142,156,1245,1126,1010,0.3434,0.6566
100830,1,Public,9080,19640,1,3,0.8017,1009,0,0,0,0,0.043,0,0,0,0.1174,0,0,0.005,0,0,0.0182,0.0231,0,0.0893,0.0066,0,0,0,0,0,0.0231,0,0.0579,0.0479,0,0.0298,0,0,0,0,0.0314,0.1851,0.3157,0.0066,8071,7255,0.9538,0.4192,17903,0.2194,0.652,0.106,20500,22.65984445,39535.01269,32100,37000,38000,30100,33500,33300,20200,28200,26300,137,161,222,1354,1242,1432,0.3648,0.6352
100858,1,Public,10200,27384,1,3,0.8347,1215,0.0448,0.0178,0.0221,0,0.0573,0,0.006,0,0.0921,0.1637,0,0.0089,0.0366,0,0.0127,0,0,0.0934,0.0089,0,0.0219,0,0.0013,0,0.0123,0,0.0404,0,0.0178,0.0495,0,0,0,0,0.0361,0.0491,0.1949,0.0125,14135,9487,0.8816,0.161,25282,0.7086,0.9052,0.045,21500,20.57196766,91587.29254,43100,50800,56300,39500,44900,48800,35100,39800,42400,220,290,368,3808,3756,3908,0.5103,0.4897
100937,2,Private,31708,31708,1,3,0.5339,1181,0,0.0404,0,0,0.0067,0,0,0,0.0741,0.0135,0,0.0101,0,0,0.037,0,0,0.138,0.0269,0,0.0471,0,0.0236,0,0.0269,0,0.101,0,0,0.0976,0,0,0,0,0.1077,0,0.1886,0.0606,10266,7451,0.6419,0.192,45162,0.6422,0.8371,0.044,27000,19.70615034,91514.28246,36700,43500,53100,33400,38600,46700,22800,35000,37900,PrivacySuppressed,PrivacySuppressed,27,PrivacySuppressed,PrivacySuppressed,271,0.5381,0.4619
101073,2,Private,10320,10320,1,3,0.5328,942,0,0,0,0,0,0,0,0,0.2857,0,0,0,0,0,0,0.4603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,5768,5812,0.6389,0.8667,17603,0.1023,0.5238,0.314,32500,21.04990758,18224.98152,22700,25700,25400,20000,22700,20600,14000,17900,18600,48,86,79,336,449,367,0.559,0.441
101189,2,Private,18750,18750,1,3,,,0,0,0,0,0,0,0.0077,0,0.0347,0,0,0,0,0.0116,0.0135,0.0154,0,0.0077,0.0058,0,0,0.0193,0,0.0096,0,0,0.0135,0.1715,0,0,0,0,0,0,0.0077,0.0231,0.657,0.0019,11127,6485,0.425,0.5812,30116,0.3073,0.6028,0.1,20320,28.22946612,36613.04209,33400,37000,40700,29700,32600,35400,22100,25000,29500,152,179,207,1437,1237,1290,0.3954,0.6046
101435,2,Private,24550,24550,1,3,0.5839,1026,0,0,0,0,0.0381,0,0,0,0.0466,0,0,0,0,0,0.0297,0,0,0.1102,0.0212,0,0,0.0975,0.0212,0.0085,0.0085,0,0.0381,0,0,0.0339,0,0,0,0,0.0297,0.0254,0.4746,0.0169,10131,5772,0.4571,0.3982,32370,0.4506,0.705,0.102,26484,24.25714286,59020.4381,34600,39900,43600,32600,36800,39900,21200,23600,30300,36,34,37,468,361,336,0.5065,0.4935
101453,2,Private,9792,9792,1,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10966,4346,1,0.6087,18631,0.5,0.5714,0.173,PrivacySuppressed,29.36111111,22450.41667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9194,0.0806
101480,1,Public,7092,13884,1,3,0.8326,1041,0,0,0,0,0.0345,0,0.0138,0,0.1426,0,0.023,0.0023,0.0261,0,0.0153,0.0314,0,0.0368,0.0123,0,0,0.0077,0,0,0.0054,0,0.0176,0.0721,0.0828,0.0238,0,0,0,0,0.0452,0.2584,0.1235,0.0253,6447,6801,0.6852,0.4428,20830,0.3009,0.718,0.096,22625,23.19135071,47480.40581,31800,34900,38100,28700,32100,35800,23400,23700,25500,231,296,367,2478,2227,2369,0.4285,0.5715
