,Degree Code,Degree
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",PCIP01,"Agriculture, Agriculture Operations, And Related Sciences."
Percentage of degrees awarded in Natural Resources And Conservation.,PCIP03,Natural Resources And Conservation.
Percentage of degrees awarded in Architecture And Related Services.,PCIP04,Architecture And Related Services.
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",PCIP05,"Area, Ethnic, Cultural, Gender, And Group Studies."
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",PCIP09,"Communication, Journalism, And Related Programs."
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,PCIP10,Communications Technologies/Technicians And Support Services.
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,PCIP11,Computer And Information Sciences And Support Services.
Percentage of degrees awarded in Personal And Culinary Services.,PCIP12,Personal And Culinary Services.
Percentage of degrees awarded in Education.,PCIP13,Education.
Percentage of degrees awarded in Engineering.,PCIP14,Engineering.
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,PCIP15,Engineering Technologies And Engineering-Related Fields.
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",PCIP16,"Foreign Languages, Literatures, And Linguistics."
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,PCIP19,Family And Consumer Sciences/Human Sciences.
Percentage of degrees awarded in Legal Professions And Studies.,PCIP22,Legal Professions And Studies.
Percentage of degrees awarded in English Language And Literature/Letters.,PCIP23,English Language And Literature/Letters.
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",PCIP24,"Liberal Arts And Sciences, General Studies And Humanities."
Percentage of degrees awarded in Library Science.,PCIP25,Library Science.
Percentage of degrees awarded in Biological And Biomedical Sciences.,PCIP26,Biological And Biomedical Sciences.
Percentage of degrees awarded in Mathematics And Statistics.,PCIP27,Mathematics And Statistics.
Percentage of degrees awarded in Military Technologies And Applied Sciences.,PCIP29,Military Technologies And Applied Sciences.
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,PCIP30,Multi/Interdisciplinary Studies.
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",PCIP31,"Parks, Recreation, Leisure, And Fitness Studies."
Percentage of degrees awarded in Philosophy And Religious Studies.,PCIP38,Philosophy And Religious Studies.
Percentage of degrees awarded in Theology And Religious Vocations.,PCIP39,Theology And Religious Vocations.
Percentage of degrees awarded in Physical Sciences.,PCIP40,Physical Sciences.
Percentage of degrees awarded in Science Technologies/Technicians.,PCIP41,Science Technologies/Technicians.
Percentage of degrees awarded in Psychology.,PCIP42,Psychology.
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",PCIP43,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
Percentage of degrees awarded in Public Administration And Social Service Professions.,PCIP44,Public Administration And Social Service Professions.
Percentage of degrees awarded in Social Sciences.,PCIP45,Social Sciences.
Percentage of degrees awarded in Construction Trades.,PCIP46,Construction Trades.
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,PCIP47,Mechanic And Repair Technologies/Technicians.
Percentage of degrees awarded in Precision Production.,PCIP48,Precision Production.
Percentage of degrees awarded in Transportation And Materials Moving.,PCIP49,Transportation And Materials Moving.
Percentage of degrees awarded in Visual And Performing Arts.,PCIP50,Visual And Performing Arts.
Percentage of degrees awarded in Health Professions And Related Programs.,PCIP51,Health Professions And Related Programs.
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",PCIP52,"Business, Management, Marketing, And Related Support Services."
Percentage of degrees awarded in History.,PCIP54,History.
