OPEID6,INSTNM,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P7,SD_EARN_WNE_P8,SD_EARN_WNE_P9,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P7,COUNT_NWNE_P8,COUNT_NWNE_P9,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P7,COUNT_WNE_P8,COUNT_WNE_P9,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
1002,Alabama A & M University,1,3,0.8989,823.0,0.0397,0.0199,0.0116,0.0,0.0,0.0348,0.0348,0.0,0.149,0.1175,0.0348,0.0,0.0281,0.0,0.0182,0.0546,0.0,0.1026,0.0199,0.0,0.0,0.0,0.0,0.0,0.0248,0.0,0.0579,0.005,0.0364,0.048,0.0,0.0,0.0,0.0,0.0166,0.0,0.1457,0.0,9063.0,7079.0,0.8856,0.7115,18888.0,0.2914,0.6314,0.163,29500,,20.540410133,29598.386409,27200,,29700,,34300,23100,26600,29900,24200,,21500,,25300,116,,155,,246,1187,,1441,,1741,0.4861,0.5139
1052,University of Alabama at Birmingham,1,3,0.8673,1146.0,0.0,0.0,0.0,0.0018,0.0456,0.0,0.0099,0.0,0.0862,0.0632,0.0,0.009000000000000001,0.0,0.0,0.0203,0.0262,0.0,0.0619,0.0135,0.0,0.0,0.0,0.0095,0.0,0.0181,0.0,0.084,0.027999999999999997,0.0244,0.0501,0.0,0.0,0.0,0.0,0.0415,0.209,0.1765,0.0212,9033.0,10170.0,0.9106,0.3505,19990.0,0.5377,0.8016,0.08,20345.5,,23.45881476,50152.838427,38300,,42500,,46400,34000,36500,40200,29800,,36700,,36300,248,,348,,470,2665,,3080,,3474,0.4135,0.5865
25034,Amridge University,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0,12057.0,3849.0,0.6721,0.6839,12300.0,0.6667,0.375,0.08900000000000001,24793,,33.925581395,22714.413953,40000,,39200,,46100,33200,34800,40100,33600,,30500,,34900,37,,47,,57,146,,193,,168,0.3913,0.6087
1055,University of Alabama in Huntsville,1,3,0.8062,1180.0,0.0,0.0,0.0,0.0,0.0318,0.0,0.0273,0.0,0.0173,0.2566,0.0,0.0173,0.0,0.0,0.0309,0.0,0.0,0.0855,0.0218,0.0,0.0,0.0,0.0082,0.0,0.0209,0.0,0.0218,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0346,0.172,0.2247,0.0118,8322.0,9341.0,0.6555,0.3281,20306.0,0.4835,0.8098,0.077,22750,,24.10127697,51005.942316,39200,,44400,,50500,35500,40600,45600,25800,,27600,,32700,139,,168,,188,1258,,1413,,1361,0.5579999999999999,0.442
1005,Alabama State University,1,3,0.5125,830.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0451,0.0,0.2137,0.0,0.0,0.0,0.0,0.0,0.0184,0.0,0.0,0.1035,0.0184,0.0,0.0,0.0184,0.0,0.0,0.015,0.0,0.0618,0.1185,0.0651,0.015,0.0,0.0,0.0,0.0,0.0568,0.0634,0.1068,0.0067,7813.0,6557.0,0.6641,0.8265,17400.0,0.2517,0.6219,0.191,31200,,20.648575305,28112.465129,23100,,26000,,29500,21000,23900,26700,15100,,17300,,20500,188,,217,,285,1594,,1621,,1977,0.4085,0.5915
1051,The University of Alabama,1,3,0.5655,1171.0,0.0,0.0054,0.0,0.0022,0.1084,0.0,0.0068,0.0,0.084,0.064,0.0,0.0068,0.07,0.0,0.0178,0.0,0.0,0.0348,0.0076,0.0,0.0302,0.0,0.006,0.0,0.0074,0.0,0.0354,0.0216,0.0124,0.0422,0.0,0.0,0.0,0.0,0.036000000000000004,0.0946,0.287,0.0194,12198.0,9605.0,0.7036,0.2107,26717.0,0.6665,0.87,0.081,22910,,21.527737226,84792.602815,39000,,43100,,49900,34800,38400,42700,41800,,39200,,42600,320,,366,,409,4322,,4165,,3648,0.4605,0.5395
1007,Central Alabama Community College,2,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,0.0669,0.0,0.0,0.0,0.0,0.4833,0.0,0.0,0.0,0.0,0.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558,0.0297,0.0,0.0,0.2045,0.1041,0.0,2371.0,5805.0,0.3871,0.6515,12103.0,,,0.263,14417.5,,24.816201498,24242.59224,25300,,27500,,30900,23500,23700,27200,16600,,20300,,21300,217,,222,,190,922,,911,,761,0.3687,0.6313
1008,Athens State University,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0386,0.0,0.2404,0.0,0.0,0.0,0.0,0.0,0.0441,0.054000000000000006,0.0,0.0243,0.0408,0.0,0.0221,0.0121,0.0077,0.0,0.0011,0.0,0.0276,0.032,0.0,0.0221,0.0,0.0,0.0,0.0,0.0099,0.0066,0.4112,0.0055,5094.0,7672.0,0.4412,0.4107,,,,0.094,18000,,30.283218634,38082.251985,35600,,37800,,42200,32900,36000,38500,23500,,23500,,28000,138,,151,,126,1150,,1060,,928,0.3498,0.6502
8310,Auburn University at Montgomery,1,3,0.8371,970.0,0.0,0.0,0.0,0.0,0.0534,0.0,0.0,0.0,0.1406,0.0,0.0,0.0036,0.0,0.0,0.016,0.0267,0.0,0.1032,0.0018,0.0,0.0,0.0,0.0,0.0,0.0231,0.0,0.0516,0.0694,0.0,0.0196,0.0,0.0,0.0,0.0,0.0107,0.1868,0.2847,0.0089,7625.0,7173.0,0.9262,0.4006,16556.0,0.2705,0.6321,0.131,19491,,22.999158957,40260.513877,31900,,34100,,37900,29900,31300,33500,20100,,24500,,27800,117,,169,,195,1176,,1273,,1409,0.3806,0.6194
1009,Auburn University,1,3,0.8274,1215.0,0.0444,0.0152,0.0189,0.0,0.0584,0.0,0.0051,0.0,0.1066,0.1491,0.0,0.0161,0.0475,0.0,0.0196,0.0,0.0,0.0769,0.0077,0.0,0.0231,0.0,0.0028,0.0,0.0129,0.0,0.0365,0.0,0.0171,0.0477,0.0,0.0,0.0,0.0,0.0393,0.0496,0.1872,0.0182,13186.0,9429.0,0.878,0.1687,23788.0,0.6792,0.8946,0.061,21500,,20.600618597,90266.799149,40300,,48500,,54100,37500,42400,47100,25100,,40300,,41800,232,,300,,415,3601,,3645,,4068,0.5107,0.4893
