UNITID,OPEID6,Predicted Final Data LN,Final_Predicted 10 year earnings,CONTROL,CONTROL.1,TUITIONFEE_IN,TUITIONFEE_OUT,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P8,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P8,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P8,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
100654,1002,10.531600126704394,37481.40141659385,1,Public,9096.0,16596.0,1,3,0.5256,827.0,0.0424,0.0191,0.0169,0.0,0.0,0.0487,0.0275,0.0,0.1123,0.1081,0.0339,0.0,0.0254,0.0,0.0127,0.0424,0.0,0.0975,0.0169,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0487,0.0085,0.0572,0.0424,0.0,0.0,0.0,0.0,0.0297,0.0,0.197,0.0,9427.0,6892.0,0.8967,0.7356,21475.0,0.3525,0.6595,0.172,32750.0,20.5257732,30721.91065,28400.0,30600.0,35500.0,25200.0,27100.0,31000.0,24000.0,20100.0,25400.0,94.0,142.0,212.0,1304.0,1485.0,1784.0,0.4831,0.5169
100663,1052,10.920098178339527,55276.22560481962,1,Public,7510.0,17062.0,1,3,0.8569,1107.0,0.0,0.0,0.0,0.0024,0.0485,0.0,0.015,0.0,0.0882,0.0577,0.0,0.0111,0.0,0.0,0.0223,0.0179,0.0,0.0746,0.0102,0.0,0.0,0.0,0.0053,0.0,0.0204,0.0,0.078,0.032,0.0228,0.0524,0.0,0.0,0.0,0.0,0.0305,0.2084,0.1837,0.0184,9899.0,9957.0,0.9072,0.346,20621.0,0.5554,0.8288,0.062,20750.0,23.49213982,51156.58905,39400.0,44100.0,48400.0,35100.0,38300.0,41200.0,32000.0,36500.0,39200.0,241.0,309.0,464.0,2727.0,3048.0,3643.0,0.4169,0.5831
100690,25034,,,2,Private,6900.0,6900.0,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4265,0.0,12459.0,3430.0,0.6,0.6801,16370.0,0.2222,0.0,0.122,22829.0,33.89017341,20279.24856,35400.0,40800.0,47600.0,30700.0,38300.0,39600.0,26700.0,33900.0,38600.0,38.0,51.0,54.0,155.0,198.0,170.0,0.3986,0.6014
100706,1055,10.928989777548836,55769.91122344588,1,Public,9158.0,21232.0,1,3,0.8203,1219.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.0271,0.0,0.0187,0.2624,0.0,0.0168,0.0,0.0,0.0168,0.0,0.0,0.085,0.014,0.0,0.0,0.0,0.0075,0.0,0.0261,0.0,0.0271,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0317,0.211,0.197,0.0121,8956.0,9302.0,0.6221,0.3072,21107.0,0.4614,0.7696,0.061,23250.0,23.71872304,54853.90207,40300.0,45900.0,52000.0,36200.0,41800.0,46700.0,25200.0,28400.0,33600.0,144.0,161.0,213.0,1378.0,1472.0,1475.0,0.5733,0.4267
100724,1005,10.497408171374397,36221.50098561805,1,Public,8720.0,15656.0,1,3,0.5326,851.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0813,0.0,0.1267,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0851,0.017,0.0,0.0,0.0284,0.0,0.0,0.0359,0.0,0.0643,0.1096,0.0624,0.0151,0.0,0.0,0.0,0.0,0.0567,0.0888,0.1115,0.0132,7733.0,6609.0,0.6539,0.7347,18184.0,0.2632,0.5725,0.156,32500.0,20.52818508,30283.78104,24400.0,27500.0,30600.0,22600.0,25200.0,27700.0,15900.0,18000.0,21400.0,157.0,209.0,244.0,1754.0,1829.0,1832.0,0.3877,0.6123
100751,1051,10.938323854663595,56292.90892876945,1,Public,9826.0,24950.0,1,3,0.5105,1185.0,0.0,0.0033,0.0,0.0024,0.1152,0.0,0.007,0.0,0.0762,0.0771,0.0,0.0044,0.0703,0.0,0.0178,0.0,0.0,0.0318,0.0065,0.0,0.0313,0.0,0.003,0.0,0.0111,0.0,0.0359,0.0259,0.0111,0.0405,0.0,0.0,0.0,0.0,0.0318,0.0912,0.2874,0.019,12791.0,9667.0,0.7045,0.204,26400.0,0.6566,0.867,0.063,23250.0,21.35652886,90097.06928,42400.0,45600.0,51600.0,37400.0,40300.0,44500.0,53500.0,37900.0,42500.0,345.0,362.0,429.0,4836.0,4613.0,4026.0,0.458,0.542
100812,1008,,,1,Public,,,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.2365,0.0,0.0,0.0,0.0,0.0,0.0336,0.0408,0.0,0.0204,0.0192,0.0,0.0384,0.0132,0.0168,0.0,0.0024,0.0,0.024,0.0348,0.0,0.0216,0.0,0.0,0.0,0.0,0.0108,0.0108,0.4394,0.0084,5476.0,7711.0,0.4559,0.4088,,,,0.086,18332.5,29.99717514,40716.8226,36200.0,40000.0,42400.0,33400.0,37500.0,38700.0,24200.0,24900.0,27500.0,140.0,142.0,156.0,1245.0,1126.0,1010.0,0.3434,0.6566
100830,8310,10.635002498672225,41564.532508897,1,Public,9080.0,19640.0,1,3,0.8017,1009.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.1174,0.0,0.0,0.005,0.0,0.0,0.0182,0.0231,0.0,0.0893,0.0066,0.0,0.0,0.0,0.0,0.0,0.0231,0.0,0.0579,0.0479,0.0,0.0298,0.0,0.0,0.0,0.0,0.0314,0.1851,0.3157,0.0066,8071.0,7255.0,0.9538,0.4192,17903.0,0.2194,0.652,0.106,20500.0,22.65984445,39535.01269,32100.0,37000.0,38000.0,30100.0,33500.0,33300.0,20200.0,28200.0,26300.0,137.0,161.0,222.0,1354.0,1242.0,1432.0,0.3648,0.6352
100858,1009,10.961324790691517,57602.70403830268,1,Public,10200.0,27384.0,1,3,0.8347,1215.0,0.0448,0.0178,0.0221,0.0,0.0573,0.0,0.006,0.0,0.0921,0.1637,0.0,0.0089,0.0366,0.0,0.0127,0.0,0.0,0.0934,0.0089,0.0,0.0219,0.0,0.0013,0.0,0.0123,0.0,0.0404,0.0,0.0178,0.0495,0.0,0.0,0.0,0.0,0.0361,0.0491,0.1949,0.0125,14135.0,9487.0,0.8816,0.161,25282.0,0.7086,0.9052,0.045,21500.0,20.57196766,91587.29254,43100.0,50800.0,56300.0,39500.0,44900.0,48800.0,35100.0,39800.0,42400.0,220.0,290.0,368.0,3808.0,3756.0,3908.0,0.5103,0.4897
100937,1012,10.869986778399404,52574.5151465693,2,Private,31708.0,31708.0,1,3,0.5339,1181.0,0.0,0.0404,0.0,0.0,0.0067,0.0,0.0,0.0,0.0741,0.0135,0.0,0.0101,0.0,0.0,0.037,0.0,0.0,0.138,0.0269,0.0,0.0471,0.0,0.0236,0.0,0.0269,0.0,0.101,0.0,0.0,0.0976,0.0,0.0,0.0,0.0,0.1077,0.0,0.1886,0.0606,10266.0,7451.0,0.6419,0.192,45162.0,0.6422,0.8371,0.044,27000.0,19.70615034,91514.28246,36700.0,43500.0,53100.0,33400.0,38600.0,46700.0,22800.0,35000.0,37900.0,,,27.0,,,271.0,0.5381,0.4619
101073,10554,10.187599866677884,26571.642818726847,2,Private,10320.0,10320.0,1,3,0.5328,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.0,5768.0,5812.0,0.6389,0.8667,17603.0,0.1023,0.5238,0.314,32500.0,21.04990758,18224.98152,22700.0,25700.0,25400.0,20000.0,22700.0,20600.0,14000.0,17900.0,18600.0,48.0,86.0,79.0,336.0,449.0,367.0,0.559,0.441
101189,1003,,,2,Private,18750.0,18750.0,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0347,0.0,0.0,0.0,0.0,0.0116,0.0135,0.0154,0.0,0.0077,0.0058,0.0,0.0,0.0193,0.0,0.0096,0.0,0.0,0.0135,0.1715,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0231,0.657,0.0019,11127.0,6485.0,0.425,0.5812,30116.0,0.3073,0.6028,0.1,20320.0,28.22946612,36613.04209,33400.0,37000.0,40700.0,29700.0,32600.0,35400.0,22100.0,25000.0,29500.0,152.0,179.0,207.0,1437.0,1237.0,1290.0,0.3954,0.6046
101435,1019,10.652569838430123,42301.16214060429,2,Private,24550.0,24550.0,1,3,0.5839,1026.0,0.0,0.0,0.0,0.0,0.0381,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,0.0,0.0,0.0297,0.0,0.0,0.1102,0.0212,0.0,0.0,0.0975,0.0212,0.0085,0.0085,0.0,0.0381,0.0,0.0,0.0339,0.0,0.0,0.0,0.0,0.0297,0.0254,0.4746,0.0169,10131.0,5772.0,0.4571,0.3982,32370.0,0.4506,0.705,0.102,26484.0,24.25714286,59020.4381,34600.0,39900.0,43600.0,32600.0,36800.0,39900.0,21200.0,23600.0,30300.0,36.0,34.0,37.0,468.0,361.0,336.0,0.5065,0.4935
101453,21997,10.539513266501626,37779.17358839333,2,Private,9792.0,9792.0,1,3,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10966.0,4346.0,1.0,0.6087,18631.0,0.5,0.5714,0.173,,29.36111111,22450.41667,,,,,,,,,,,,,,,,0.9194,0.0806
101480,1020,10.669162267909039,43008.89646922255,1,Public,7092.0,13884.0,1,3,0.8326,1041.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0138,0.0,0.1426,0.0,0.023,0.0023,0.0261,0.0,0.0153,0.0314,0.0,0.0368,0.0123,0.0,0.0,0.0077,0.0,0.0,0.0054,0.0,0.0176,0.0721,0.0828,0.0238,0.0,0.0,0.0,0.0,0.0452,0.2584,0.1235,0.0253,6447.0,6801.0,0.6852,0.4428,20830.0,0.3009,0.718,0.096,22625.0,23.19135071,47480.40581,31800.0,34900.0,38100.0,28700.0,32100.0,35800.0,23400.0,23700.0,25500.0,231.0,296.0,367.0,2478.0,2227.0,2369.0,0.4285,0.5715
101541,1023,10.408025382463114,33124.397765632886,2,Private,16258.0,16258.0,1,3,0.6525,,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0333,0.0,0.0667,0.0,0.1333,0.05,0.0333,0.0167,0.0,0.0,0.0,0.0,0.0167,0.25,0.0333,0.0667,8101.0,5715.0,1.0,0.4784,28840.0,0.4316,0.5606,0.132,25874.5,25.79391892,30574.3446,26300.0,25500.0,29300.0,22200.0,24800.0,26100.0,17300.0,16200.0,22400.0,,,31.0,,,143.0,0.0319,0.9681
