UNITID,INSTNM,Snippet,Motto
100654,Alabama A & M University,"Alabama Agricultural and Mechanical University (often called Alabama A&M, formerly the State Normal and Industrial School of Huntsville and State Agricultural and Mechanical Institute for Negroes) is a public, historically black, land-grant university located in Normal, a neighborhood of Huntsville, Alabama, United States.[5][6] AAMU is a member-school of the Thurgood Marshall College Fund and has been accredited by the Southern Association of Colleges and Schools. Founded in the 1870s as a normal school, it took its present name in 1969.  Alabama Agricultural and Mechanical University Historic District, also known as Normal Hill College Historic District, has 28 buildings and 4 structures listed in the United States National Register of Historic Places.
",Service is Sovereignty
100663,University of Alabama at Birmingham,"The University of Alabama at Birmingham (UAB) is a public R1 research university in Birmingham, Alabama. Developed from an academic extension center established in 1936, the institution became a four-year campus in 1966 and a fully autonomous university in the University of Alabama System in 1969. 
",N/A
100690,Amridge University,"Coordinates: 32°21′54.1″N 86°10′17.7″W﻿ / ﻿32.365028°N 86.171583°W﻿ / 32.365028; -86.171583
","""Where Traditional and Online Education Merge"""
100706,University of Alabama in Huntsville,"
",N/A
100724,Alabama State University,"
",“Opportunity is Here”
100751,The University of Alabama,"
",The Capstone of Higher Education
100812,Athens State University,"Athens State University is a two-year upper level university located in Athens, Alabama, United States.  Thirty-three different majors are offered to junior and senior students. The majors are housed in one of three colleges: Education, Arts and Sciences, and Business.
",N/A
100830,Auburn University at Montgomery,"
",N/A
100858,Auburn University,"
",For The Advancement of Science and Arts
100937,Birmingham Southern College,"Birmingham–Southern College (BSC) is a private liberal arts college in Birmingham, Alabama, United States. Founded in 1856, the college is affiliated with the United Methodist Church and is accredited by the Southern Association of Colleges and Schools (SACS). More than 1300 students from 33 states and 16 foreign countries attend the college.[1]   Birmingham–Southern has a 13:1 student-faculty ratio, and 96% of full-time faculty hold a doctorate or the highest degree in their field.[2]
",Pro Christo et Republica (Latin)
101073,Concordia College Alabama,"Concordia College Alabama was a private college of the Lutheran Church–Missouri Synod, located in Selma, Alabama. It was the only historically black college among the ten colleges and universities in the Concordia University System. The college ceased operations at the completion of the Spring 2018 semester,[3] citing years of financial distress and declining enrollment.[4]
",N/A
101189,Faulkner University,"
",For God and For You
101435,Huntingdon College,"Huntingdon College is a private Methodist liberal arts college in Montgomery, Alabama.  It was founded in 1854 as a women's college.
","Enter to Grow in Wisdom, Go Forth to Apply Wisdom in Service."
101453,Heritage Christian University,"Heritage Christian University is a private bible college in Florence, Alabama. It is affiliated with the Churches of Christ. The university is governed by a Board of Directors, all of whom must be active members of the Churches of Christ.
",N/A
101480,Jacksonville State University,"
",N/A
101541,Judson College,"Judson College may refer to one of several tertiary institutions:
",N/A
101587,University of West Alabama,"
","""Do Something That Matters."""
101675,Miles College,"Miles College is a private historically black liberal arts college in Fairfield, Alabama. Founded in 1898, it is associated with the Christian Methodist Episcopal Church (CME Church) and a member of the United Negro College Fund.
","""Knowledge and Peace and Love for all."""
101693,University of Mobile,"
",Higher Education for a Higher Purpose
101709,University of Montevallo,"The University of Montevallo is a four-year public university located in Montevallo, Alabama, United States. Founded in 1896, it is Alabama's only public liberal arts college and a member of the Council of Public Liberal Arts Colleges.
",You Belong at Montevallo
101879,University of North Alabama,"
","""Veritas Lux. Orbis Terrarum"" (Latin: ""Truth and Light of the World"")"
101912,Oakwood University,"Oakwood University is a private, historically black Seventh-day Adventist university in Huntsville, Alabama.  It is owned and operated by the Seventh-day Adventist Church.
","Education, Excellence, Eternity"
102049,Samford University,"Samford University is a private Christian university in Homewood, Alabama.[4] In 1841, the university was founded as Howard College.[5] Samford University is the 87th oldest institution of higher learning in the United States.[6] The university enrolls 5,619 students from 44 states and 30 countries.[7]
","For God, For Learning, Forever"
102058,Selma University,"Selma University is a private and historically black Baptist Bible college in Selma, Alabama. It is affiliated with the Alabama State Missionary Baptist Convention.
",N/A
102094,University of South Alabama,"The University of South Alabama (USA), officially nicknamed ""South"" is a public, national research university in Mobile, Alabama, United States. It was created by the Alabama Legislature in May, 1963, and replaced existing extension programs operated in Mobile by the University of Alabama. Currently, USA is divided into ten colleges and schools and includes one of Alabama's two state-supported medical schools. As of the fall semester of 2018, South Alabama has an enrollment of 14,834 students.[3]  To date, the university has awarded over 90,000 degrees[3]. 
",N/A
